trial,timestamp,problem,answer,correct,reward,overall,recent_20,recent_100,recent_500,successes,attempts,active_synapses,mean_delta_w
42,1789299777.0337129,2 + 1,3,1,1.0,0.8095238095238095,0.8,0.8095238095238095,0.8095238095238095,34,42,131,-0.0124
43,1789299777.1417196,2 + 1,3,1,1.0,0.813953488372093,0.8,0.813953488372093,0.813953488372093,35,43,132,-0.0147
44,1789299777.2496738,2 + 1,3,1,1.0,0.8181818181818182,0.8,0.8181818181818182,0.8181818181818182,36,44,133,-0.017
45,1789299777.3580196,2 + 1,2,0,-1.0,0.8,0.8,0.8,0.8,36,45,134,-0.019
46,1789299777.466826,2 + 1,3,1,1.0,0.8043478260869565,0.8,0.8043478260869565,0.8043478260869565,37,46,135,-0.021
47,1789299777.575659,2 + 1,3,1,1.0,0.8085106382978723,0.8,0.8085106382978723,0.8085106382978723,38,47,136,-0.0228
48,1789299777.6847634,2 + 1,3,1,1.0,0.8125,0.8,0.8125,0.8125,39,48,137,-0.0244
49,1789299777.7939649,2 + 1,3,1,1.0,0.8163265306122449,0.8,0.8163265306122449,0.8163265306122449,40,49,138,-0.0258
50,1789299777.9024968,2 + 1,2,0,-1.0,0.8,0.8,0.8,0.8,40,50,139,-0.027
51,1789299778.0124364,2 + 1,3,1,1.0,0.803921568627451,0.8,0.803921568627451,0.803921568627451,41,51,140,-0.0281
52,1789299778.1200233,2 + 1,3,1,1.0,0.8076923076923077,0.8,0.8076923076923077,0.8076923076923077,42,52,141,-0.0289
53,1789299778.2284565,2 + 1,3,1,1.0,0.8113207547169812,0.8,0.8113207547169812,0.8113207547169812,43,53,142,-0.0295
